,date,TICKER,PRC,PRC moving average 20
108,20000607,EWST,7.75,7.9765625
109,20000608,EWST,7.90625,7.971875
110,20000609,EWST,7.5625,7.94375
111,20000612,EWST,8.03125,7.9453125
112,20000613,EWST,8.0625,7.9609375
113,20000614,EWST,8.03125,7.959375
114,20000615,EWST,8.03125,7.9578125
115,20000616,EWST,7.84375,7.946875
116,20000619,EWST,7.5,7.921875
117,20000620,EWST,7.625,7.9
118,20000621,EWST,7.78125,7.8890625
119,20000622,EWST,7.5,7.8609375
120,20000623,EWST,7.71875,7.846875
121,20000626,EWST,7.5,7.821875
122,20000627,EWST,7.9375,7.8234375
123,20000628,EWST,7.5,7.803125
124,20000629,EWST,7.78125,7.7984375
125,20000630,EWST,8.0,7.7953125
126,20000703,EWST,8.0,7.7984375
127,20000705,EWST,8.0,7.803125
128,20000706,EWST,7.625,7.796875
129,20000707,EWST,7.75,7.7890625
130,20000710,EWST,7.6875,7.7953125
131,20000711,EWST,7.5625,7.771875
132,20000712,EWST,7.6875,7.753125
133,20000713,EWST,7.6875,7.7359375
134,20000714,EWST,7.75,7.721875
135,20000717,EWST,7.875,7.7234375
136,20000718,EWST,7.875,7.7421875
137,20000719,EWST,7.875,7.7546875
138,20000720,EWST,7.875,7.759375
139,20000721,EWST,8.125,7.790625
140,20000724,EWST,8.125,7.8109375
141,20000725,EWST,8.0,7.8359375
142,20000726,EWST,8.0,7.8390625
143,20000727,EWST,8.25,7.8765625
144,20000728,EWST,8.125,7.89375
145,20000731,EWST,7.875,7.8875
146,20000801,EWST,8.125,7.89375
147,20000802,EWST,7.625,7.875
148,20000803,EWST,7.875,7.8875
149,20000804,EWST,7.625,7.88125
150,20000807,EWST,7.71875,7.8828125
151,20000808,EWST,7.8125,7.8953125
152,20000809,EWST,7.75,7.8984375
153,20000810,EWST,7.75,7.9015625
154,20000811,EWST,7.875,7.9078125
155,20000814,EWST,7.75,7.9015625
156,20000815,EWST,7.75,7.8953125
157,20000816,EWST,7.8125,7.8921875
158,20000817,EWST,7.75,7.8859375
159,20000818,EWST,7.96875,7.878125
160,20000821,EWST,7.90625,7.8671875
161,20000822,EWST,8.0,7.8671875
162,20000823,EWST,8.03125,7.86875
163,20000824,EWST,8.0,7.85625
164,20000825,EWST,8.0,7.85
165,20000828,EWST,7.875,7.85
166,20000829,EWST,8.0,7.84375
167,20000830,EWST,8.25,7.875
168,20000831,EWST,8.25,7.89375
169,20000901,EWST,8.3125,7.928125
170,20000905,EWST,8.3125,7.9578125
171,20000906,EWST,8.3125,7.9828125
172,20000907,EWST,8.75,8.0328125
173,20000908,EWST,8.5625,8.0734375
174,20000911,EWST,8.6875,8.1140625
175,20000912,EWST,8.875,8.1703125
176,20000913,EWST,8.625,8.2140625
177,20000914,EWST,8.625,8.2546875
178,20000915,EWST,9.0,8.3171875
179,20000918,EWST,9.0,8.36875
180,20000919,EWST,8.75,8.4109375
181,20000920,EWST,8.75,8.4484375
182,20000921,EWST,8.75,8.484375
183,20000922,EWST,8.875,8.528125
184,20000925,EWST,8.75,8.565625
185,20000926,EWST,9.0,8.621875
186,20000927,EWST,9.0,8.671875
187,20000928,EWST,9.125,8.715625
188,20000929,EWST,8.75,8.740625
189,20001002,EWST,9.0,8.775
190,20001003,EWST,8.9375,8.80625
191,20001004,EWST,8.5,8.815625
192,20001005,EWST,8.75,8.815625
193,20001006,EWST,8.9375,8.834375
194,20001009,EWST,9.0,8.85
195,20001010,EWST,9.0625,8.859375
196,20001011,EWST,8.75,8.865625
197,20001012,EWST,8.75,8.871875
198,20001013,EWST,8.75,8.859375
199,20001016,EWST,8.875,8.853125
200,20001017,EWST,8.8125,8.85625
201,20001018,EWST,8.75,8.85625
202,20001019,EWST,8.75,8.85625
203,20001020,EWST,8.8125,8.853125
204,20001023,EWST,8.75,8.853125
205,20001024,EWST,8.875,8.846875
206,20001025,EWST,8.75,8.834375
207,20001026,EWST,8.75,8.815625
208,20001027,EWST,8.875,8.821875
209,20001030,EWST,8.8125,8.8125
210,20001031,EWST,9.0,8.815625
211,20001101,EWST,9.0,8.840625
212,20001102,EWST,9.0,8.853125
213,20001103,EWST,8.8125,8.846875
214,20001106,EWST,9.0,8.846875
215,20001107,EWST,8.75,8.83125
216,20001108,EWST,8.75,8.83125
217,20001109,EWST,8.75,8.83125
218,20001110,EWST,9.25,8.85625
219,20001113,EWST,9.125,8.86875
220,20001114,EWST,9.25,8.890625
221,20001115,EWST,9.3125,8.91875
222,20001116,EWST,9.25,8.94375
223,20001117,EWST,9.3125,8.96875
224,20001120,EWST,9.1875,8.990625
225,20001121,EWST,9.3125,9.0125
226,20001122,EWST,8.75,9.0125
227,20001124,EWST,9.125,9.03125
228,20001127,EWST,9.375,9.05625
229,20001128,EWST,9.21875,9.0765625
230,20001129,EWST,8.875,9.0703125
231,20001130,EWST,9.5625,9.0984375
232,20001201,EWST,9.125,9.1046875
233,20001204,EWST,9.25,9.1265625
234,20001205,EWST,9.0,9.1265625
235,20001206,EWST,9.25,9.1515625
236,20001207,EWST,9.5,9.1890625
237,20001208,EWST,9.5,9.2265625
238,20001211,EWST,9.5625,9.2421875
239,20001212,EWST,9.59375,9.265625
240,20001213,EWST,9.75,9.290625
241,20001214,EWST,9.75,9.3125
242,20001215,EWST,9.75,9.3375
243,20001218,EWST,9.75,9.359375
244,20001219,EWST,9.75,9.3875
245,20001220,EWST,9.5,9.396875
246,20001221,EWST,9.75,9.446875
247,20001222,EWST,9.75,9.478125
248,20001226,EWST,9.75,9.496875
249,20001227,EWST,9.75,9.5234375
250,20001228,EWST,9.625,9.5609375
251,20001229,EWST,9.75,9.5703125
252,20010102,EWST,9.875,9.6078125
253,20010103,EWST,9.5625,9.6234375
254,20010104,EWST,9.875,9.6671875
255,20010105,EWST,9.8125,9.6953125
256,20010108,EWST,9.875,9.7140625
257,20010109,EWST,9.9375,9.7359375
258,20010110,EWST,10.0,9.7578125
259,20010111,EWST,9.8125,9.76875
260,20010112,EWST,9.9375,9.778125
261,20010116,EWST,10.0,9.790625
262,20010117,EWST,9.78125,9.7921875
263,20010118,EWST,9.78125,9.79375
264,20010119,EWST,9.5,9.78125
265,20010122,EWST,9.875,9.8
266,20010123,EWST,9.5,9.7875
267,20010124,EWST,9.6875,9.784375
268,20010125,EWST,9.5,9.771875
269,20010126,EWST,9.875,9.778125
270,20010129,EWST,9.8125,9.7875
271,20010130,EWST,9.79688,9.789843999999999
272,20010131,EWST,9.875,9.789843999999999
273,20010201,EWST,9.5,9.786719
274,20010202,EWST,9.96875,9.791406499999999
275,20010205,EWST,9.96875,9.799218999999999
276,20010206,EWST,9.73438,9.792188
277,20010207,EWST,9.71875,9.781250499999999
278,20010208,EWST,9.71875,9.767187999999999
279,20010209,EWST,9.5,9.751562999999999
280,20010212,EWST,9.875,9.748437999999998
281,20010213,EWST,9.5,9.723437999999998
282,20010214,EWST,9.5,9.709375499999998
283,20010215,EWST,9.375,9.689062999999999
284,20010216,EWST,9.375,9.682813
285,20010220,EWST,9.375,9.657812999999999
286,20010221,EWST,9.5,9.657812999999999
287,20010222,EWST,9.375,9.642187999999999
288,20010223,EWST,9.625,9.648437999999999
289,20010226,EWST,9.8125,9.645312999999998
290,20010227,EWST,9.8125,9.645312999999998
291,20010228,EWST,9.75,9.642968999999999
292,20010301,EWST,9.75,9.636719
293,20010302,EWST,9.625,9.642968999999999
294,20010305,EWST,9.5,9.619531499999999
295,20010306,EWST,9.75,9.608594
296,20010307,EWST,9.5,9.596875
297,20010308,EWST,9.5,9.5859375
298,20010309,EWST,9.75,9.5875
299,20010312,EWST,9.5,9.5875
300,20010313,EWST,9.8125,9.584375
301,20010314,EWST,9.75,9.596875
302,20010315,EWST,9.625,9.603125
303,20010316,EWST,9.625,9.615625
304,20010319,EWST,9.8125,9.6375
305,20010320,EWST,9.8125,9.659375
306,20010321,EWST,9.8125,9.675
307,20010322,EWST,9.875,9.7
308,20010323,EWST,10.0,9.71875
309,20010326,EWST,10.0,9.728125
310,20010327,EWST,10.3125,9.753125
311,20010328,EWST,10.1875,9.775
312,20010329,EWST,10.25,9.8
313,20010330,EWST,10.0,9.81875
314,20010402,EWST,10.0,9.84375
315,20010403,EWST,10.25,9.86875
316,20010404,EWST,10.0,9.89375
317,20010405,EWST,10.3125,9.934375
318,20010406,EWST,10.1875,9.95625
319,20010409,EWST,10.15,9.98875
320,20010410,EWST,9.9,9.993125000000001
321,20010411,EWST,9.9,10.000625000000001
322,20010412,EWST,9.9,10.014375000000001
323,20010416,EWST,9.9,10.028125000000001
324,20010417,EWST,9.825,10.02875
325,20010418,EWST,9.8,10.028125000000001
326,20010419,EWST,10.2,10.047500000000001
327,20010420,EWST,9.75,10.041250000000002
328,20010423,EWST,10.1,10.04625
329,20010424,EWST,10.1,10.05125
330,20010425,EWST,9.9,10.030625
331,20010426,EWST,10.1,10.026250000000001
